           1  -8.8914407703733322E-002
           2  -4.3642922657197297E-002
           3  -5.2687477349123185E-002
           4  -6.2137016254677511E-002
           5  -2.6006824277271846E-002
           6  -1.3801927908752050E-002
           7   3.9196911654799070E-002
           8  0.13900967100068570     
           9  0.20963788089675098     
          10  0.16317854366126883     
          11   3.7357517334394241E-002
          12   3.4658701771266461E-002
          13  -3.9322940653961372E-002
          14  -3.1602972687631160E-002
          15  -7.1712926557204182E-002
          16  -6.8784063638138299E-002
