           1 -6.391991192719497E-003
           2  1.130282545270496E-002
           3 -1.496148270613731E-002
           4  5.587069515973124E-004
           5 -9.775007761593088E-003
           6 -8.471974432777486E-003
           7 -5.922002928682583E-003
           8  2.993918695723224E-002
           9  4.902677525724244E-002
          10  3.520028491272882E-002
          11 -9.030564264629323E-003
          12 -1.304288618346017E-002
          13 -6.625842276435083E-003
          14 -2.285066708418525E-002
          15 -1.725072614203406E-002
          16 -7.924062774433558E-003
